track,slice,x,y
1,814,1469,943
1,817,1474,942
1,820,1475,941
1,823,1479,942
1,826,1483,943
1,829,1485,944
1,832,1485,947
1,835,1480,948
1,838,1484,953
1,841,1479,958
1,844,1479,960
1,847,1480,962
1,850,1479,964
1,853,1477,962
1,856,1477,964
1,859,1473,965
1,862,1472,965
1,865,1469,961
1,868,1465,957
1,871,1462,954
1,874,1460,952
1,877,1461,950
1,880,1459,950
1,883,1459,950
2,1,2214,1466
2,4,2212,1462
2,7,2210,1459
2,10,2209,1459
2,13,2210,1457
2,16,2210,1455
2,19,2208,1453
2,22,2206,1451
2,25,2206,1446
2,28,2204,1444
2,31,2200,1442
2,34,2197,1438
2,37,2195,1440
2,40,2195,1441
2,43,2194,1447
2,46,2194,1451
2,49,2197,1458
2,52,2198,1466
2,55,2199,1473
2,58,2201,1475
2,61,2202,1479
2,64,2210,1488
2,67,2216,1494
2,70,2220,1499
2,73,2221,1504
2,76,2227,1511
2,79,2230,1517
2,82,2231,1522
2,85,2232,1526
2,88,2236,1529
2,91,2242,1535
2,94,2247,1538
2,97,2251,1543
2,100,2257,1546
2,103,2262,1550
2,106,2271,1557
2,109,2276,1562
2,112,2283,1572
2,115,2286,1579
2,118,2287,1585
2,121,2290,1591
2,124,2294,1600
2,127,2297,1604
2,130,2303,1610
2,133,2306,1616
2,136,2315,1627
2,139,2322,1636
2,142,2323,1641
2,145,2330,1647
2,148,2337,1654
2,151,2345,1660
2,154,2351,1664
2,157,2358,1671
2,160,2365,1677
2,163,2369,1683
2,166,2373,1685
2,169,2376,1685
2,172,2378,1685
2,175,2378,1685
2,178,2376,1684
2,181,2370,1679
2,184,2363,1680
2,187,2359,1676
2,190,2351,1671
2,193,2343,1666
2,196,2340,1659
2,199,2337,1655
2,202,2330,1651
2,205,2328,1650
2,208,2327,1648
2,211,2324,1644
2,214,2318,1643
2,217,2315,1640
2,220,2310,1639
2,223,2308,1635
2,226,2305,1633
2,229,2301,1630
2,232,2298,1627
2,235,2296,1622
2,238,2297,1625
2,241,2293,1621
2,244,2291,1619
2,247,2292,1617
2,250,2294,1616
2,253,2293,1613
2,256,2291,1614
2,259,2294,1620
2,262,2296,1624
2,265,2292,1621
2,268,2293,1619
2,271,2289,1617
2,274,2289,1615
2,277,2289,1616
2,280,2292,1617
2,283,2291,1622
2,286,2296,1623
2,289,2298,1623
2,292,2300,1625
2,295,2304,1629
2,298,2306,1630
2,301,2313,1632
2,304,2324,1638
2,307,2330,1640
2,310,2337,1647
2,313,2342,1651
2,316,2346,1657
2,319,2353,1661
2,322,2357,1666
2,325,2364,1669
2,328,2370,1680
2,331,2376,1688
2,334,2379,1692
2,337,2383,1695
2,340,2388,1704
2,343,2395,1715
2,346,2398,1721
2,349,2403,1729
2,352,2410,1734
2,355,2413,1733
2,358,2412,1733
2,361,2415,1737
2,364,2419,1741
2,367,2421,1743
2,370,2425,1746
2,373,2426,1748
2,376,2429,1751
2,379,2430,1749
2,382,2435,1755
2,385,2442,1763
2,388,2448,1769
2,391,2450,1772
2,394,2454,1775
2,397,2459,1780
2,400,2465,1786
2,403,2471,1794
2,406,2478,1799
2,409,2483,1803
2,412,2489,1808
2,415,2496,1813
2,418,2499,1818
2,421,2506,1821
2,424,2509,1824
2,427,2514,1829
2,430,2522,1834
2,433,2526,1839
2,436,2528,1839
2,439,2533,1850
2,442,2535,1856
2,445,2539,1862
2,448,2543,1869
2,451,2548,1874
3,1,1129,728
3,4,1130,728
3,7,1132,726
3,10,1138,727
3,13,1143,731
3,16,1154,738
3,19,1162,740
3,22,1169,741
